ID,cy_2011,cy_2012,cy_2013,cy_2014,cy_2015,cy_2016,cy_2017,cy_2018,cy_2019,cy_2020,cy_2021,cy_2022,cy_2023
9271,0,0,2,1,1,1,1,0,0,1,2,1,0
10575,6,6,1,2,0,3,9,3,3,1,1,2,0
9273,0,2,0,5,0,1,1,1,3,0,0,0,0
7261,0,0,0,0,0,0,0,0,0,0,0,1,0
9144,5,4,1,0,0,3,1,1,4,1,1,2,0
10571,0,1,0,1,0,0,1,1,2,0,2,0,0
9145,0,0,0,0,2,0,0,0,2,0,0,0,0
7392,1,2,0,0,1,1,0,0,0,0,0,0,0
9147,4,1,2,0,1,0,0,1,0,2,3,0,0
7406,4,1,3,1,1,3,0,0,3,1,1,0,0
9149,2,1,1,0,1,1,0,0,1,1,0,0,0
7418,0,1,0,0,0,0,0,0,0,0,0,0,0
9152,0,1,2,0,0,0,0,0,0,0,0,0,0
7422,0,0,0,2,2,0,0,1,0,0,0,0,0
9153,0,0,2,0,1,1,1,0,2,1,1,0,0
7535,0,0,0,1,0,0,0,0,0,0,0,0,0
9154,6,3,6,0,2,1,2,2,2,3,3,0,0
7546,0,2,1,0,0,1,1,0,0,2,0,1,0
9159,0,0,0,0,0,0,0,0,0,1,0,0,0
7556,0,0,0,0,0,0,0,2,0,0,0,0,0
9260,0,0,0,0,0,1,0,0,1,0,0,0,0
7560,0,0,0,0,0,0,0,0,0,0,2,1,0
9261,1,0,0,0,0,0,1,0,0,0,1,0,0
7563,0,0,1,0,2,0,0,2,1,1,1,1,0
9263,0,1,0,0,1,0,0,1,0,1,1,0,0
7678,1,0,0,2,0,0,1,0,0,0,0,0,0
9264,0,0,0,1,0,0,0,0,2,0,0,0,0
7690,0,0,1,0,0,0,0,0,1,2,0,0,0
9265,0,0,0,0,0,0,0,1,0,0,0,0,0
7706,1,0,0,1,1,0,0,1,0,0,1,1,0
9268,0,0,5,1,0,0,2,1,0,0,3,3,0
7820,0,0,0,0,0,0,0,0,1,0,0,0,0
9269,1,0,0,0,0,1,0,0,0,0,2,0,0
7832,1,2,0,0,0,0,0,0,0,2,0,2,0
7245,0,0,0,0,1,1,1,0,0,0,0,0,0
7834,0,1,1,1,0,0,0,1,1,0,1,0,0
7387,0,0,1,0,0,0,0,0,0,1,0,0,0
7836,0,0,0,0,0,0,0,0,4,1,0,0,0
9281,0,5,3,6,0,2,0,0,3,1,0,1,0
7838,0,5,1,4,0,0,1,0,3,2,0,1,0
9288,0,0,0,0,0,1,0,2,0,0,0,0,0
7841,0,2,0,0,0,0,0,0,0,1,0,0,0
9291,2,0,1,0,0,1,1,0,0,0,0,0,0
7843,3,2,4,3,1,3,1,2,1,1,3,2,0
9292,0,4,4,0,2,1,7,1,4,3,1,0,0
7848,8,1,2,3,3,1,3,2,0,0,4,0,0
9293,5,3,0,3,1,1,2,1,1,1,0,0,0
7963,0,0,0,0,0,0,0,0,2,0,0,0,0
9294,1,0,0,0,0,1,1,0,0,1,1,1,0
7975,0,0,0,0,0,0,0,0,0,2,0,0,0
9295,0,0,0,0,0,1,0,0,0,0,0,0,0
7982,4,1,2,0,1,0,0,0,0,0,0,1,0
9296,0,0,0,0,0,1,0,0,0,0,0,0,0
7984,1,0,0,0,0,1,0,1,1,1,5,5,0
9297,0,0,0,0,0,0,0,1,2,0,0,6,0
7986,3,2,1,1,0,0,0,1,1,1,1,0,0
9304,0,1,0,1,0,1,0,0,0,1,0,1,0
7992,1,1,1,1,2,1,4,4,0,0,2,1,0
9405,0,0,0,0,0,1,1,0,1,0,0,1,0
7996,2,0,0,0,0,0,0,0,0,0,0,0,0
